Address,Creation Time,Self-destructed Time,Num. of Trans,Balance,Mark
0x26f8d2330e06359dfd56a7227159f9fbcb1cbb25,Jul-19-2018 08:01:13 AM,Jul-19-2018 08:46:57 AM,2,0 Ether,suicide
0xfda2e0437f974c9312ca6740c07181178f645fa9,Dec-25-2017 04:13:27 AM,Jul-19-2018 07:46:07 PM,16,0 Ether,suicide
0x66e9aeedc17558cfc97b6734600b7a835f8e7ceb,Mar-17-2018 12:11:28 AM,May-16-2018 12:40:59 AM,6,0 Ether,suicide
0xf443aaaf1e0770a078b5e1b783e68eb71c9e2f0f,Nov-05-2017 04:16:10 AM,Nov-13-2017 04:55:56 PM,33,0 Ether,suicide
0xfab74b212c52e35722ceb0338db244390edd2887,Sep-19-2018 10:20:38 PM,Sep-21-2018 12:37:03 AM,2,0 Ether,suicide
0x559cc6564ef51bd1ad9fbe752c9455cb6fb7feb1,Mar-17-2018 06:19:38 AM,Mar-22-2018 05:53:10 AM,7,0 Ether,suicide
0xe74af09d42d9e71f2cd4f13c7ce3a2b182653705,Oct-01-2017 05:43:47 AM,Oct-06-2017 01:24:25 PM,15,0 Ether,suicide
0xedcbfdf37c11aa36daaa6944386e494ae00e2d42,Dec-28-2017 10:28:27 AM,Dec-28-2017 12:57:01 PM,8,0 Ether,suicide
0x674fc83f67b9668859a1d7882dfdbc384421c506,Dec-02-2017 11:42:57 PM,Dec-02-2017 11:55:40 PM,2,0 Ether,suicide
0xa43ef3ec09c844dccb09b4d193a7f407bd81f264,Mar-09-2018 08:21:16 PM,May-14-2018 11:26:44 PM,4,0 Ether,suicide
0x08573698b2b0aaf07f16395be3d3530598c0d972,Jul-13-2017 09:17:41 PM,Jul-13-2017 09:29:27 PM,4,0 Ether,suicide
0x033e698da77de33120c703e373f43525b10f8e68,Feb-18-2018 11:50:14 PM,Feb-19-2018 12:13:21 AM,6,0 Ether,suicide
0xc88fe44147aa5d8cd85d4f972d6002cc2b536eea,Aug-30-2018 03:52:21 PM,Jan-02-2019 10:59:26 AM,6,0 Ether,suicide
0x8e1a99d8dbe5687f74c74f18295c4928ce2f676d,Sep-01-2017 08:11:39 PM,Nov-11-2017 06:37:14 AM,40,0 Ether,suicide
0xd9c365c396ceb390a44f4e6e7f48fdb0fdc9778a,Sep-06-2018 11:36:29 AM,Oct-02-2018 02:06:13 PM,4,0 Ether,suicide
0x0eaf3a45f6035565ee7fb61b242f562b77883fc4,Jan-09-2019 08:10:09 PM,Jan-10-2019 04:25:32 PM,5,0 Ether,suicide
0x20b3d3f8a3e4f7b23382d844f2ca1d7026d69479,Sep-08-2018 01:51:23 PM,Oct-13-2018 11:17:10 AM,47,0 Ether,suicide
0x9f352d623371eda3a28f9d9c8ca73a5124f2d9fc,Apr-30-2018 12:54:18 AM,Jun-01-2018 12:30:26 AM,11,0 Ether,suicide
0x545123c9b719cc37d098168742ca21748adc0060,Jan-25-2018 09:28:24 PM,Jan-25-2018 10:44:16 PM,4,0 Ether,suicide
0x8e4254c212c521c5f88a1f039338e067a06b1dfa,Aug-03-2018 03:33:22 AM,Aug-03-2018 04:49:38 AM,4,0 Ether,suicide
0x013620bf5142f9d8487e92c1d514c38e1b086613,Apr-06-2018 10:16:20 PM,Apr-07-2018 02:25:42 AM,6,0 Ether,suicide
0x7bc51b19abe2cfb15d58f845dad027feab01bfa0,Feb-05-2018 05:43:40 PM,Feb-05-2018 09:03:22 PM,6,0 Ether,suicide
0x25926eff952bdcd3cb395a5614ab5094474b2dba,Feb-13-2018 01:02:22 PM,Mar-01-2018 02:00:36 PM,7,0 Ether,suicide
